"id","interviewdate","comscore_raw","comscore","pop_groups","Quintile","type","lat","lon","living_conditions_score","living_conditions_category"
1244,"2023-12-12",-0.0149552020078128,17.752317529176,"IDPs","Middle","rms",6.2162758,31.6040403,1,"Poor"
1245,"2023-12-12",-0.0149552020078128,17.752317529176,"IDPs","Middle","rms",6.2162111,31.6039924,1,"Poor"
1246,"2023-12-12",-0.0149552020078128,17.752317529176,"IDPs","Middle","rms",6.2165017,31.6036975,1,"Poor"
1247,"2023-12-12",-0.0149552020078128,17.752317529176,"IDPs","Middle","rms",6.21651,31.6035992,1,"Poor"
1257,"2023-12-12",0.00358704038872341,25.5329132262488,"IDPs","Fourth","rms",10.4326218,32.2483124,2,"Good"
1258,"2023-12-12",-0.0101672229821664,19.7614234510994,"IDPs","Middle","rms",10.4318331,32.2493184,2,"Good"
1259,"2023-12-12",-0.0499300262681375,3.07637050366453,"IDPs","Poorest","rms",10.4311722,32.2580944,2,"Good"
1260,"2023-12-12",-0.0341154534337309,9.71239621808478,"IDPs","Second","rms",10.4310982,32.2586855,2,"Good"
1261,"2023-12-12",-0.0416929956984205,6.53274882279216,"IDPs","Poorest","rms",10.4308723,32.2589946,1,"Poor"
1262,"2023-12-11",-0.0416929956984205,6.53274882279216,"IDPs","Poorest","rms",10.5780401,32.1362986,1,"Poor"
1263,"2023-12-11",-0.0499300262681375,3.07637050366453,"IDPs","Poorest","rms",10.5778617,32.1361491,2,"Good"
1264,"2023-12-11",-0.0499300262681375,3.07637050366453,"IDPs","Poorest","rms",10.5786181,32.1360324,2,"Good"
1265,"2023-12-11",-0.0499300262681375,3.07637050366453,"IDPs","Poorest","rms",10.5784733,32.1364004,2,"Good"
1266,"2023-12-12",-0.0392909921060312,7.54066460857592,"IDPs","Second","rms",10.4316476,32.2482962,1,"Poor"
1267,"2023-12-12",-0.00425541616237819,22.2421039276183,"IDPs","Fourth","rms",10.4332357,32.2485454,3,"Good"
1268,"2023-12-11",-0.0258784228640139,13.1687745372124,"IDPs","Second","rms",10.5773724,32.135802,1,"Poor"
1269,"2023-12-12",-0.0416929956984205,6.53274882279216,"IDPs","Poorest","rms",10.430015,32.2570845,1,"Poor"
1270,"2023-12-12",-0.0120149271581199,18.9860997953385,"IDPs","Middle","rms",10.4305998,32.2575999,0,"Poor"
1271,"2023-12-12",-0.0499300262681375,3.07637050366453,"IDPs","Poorest","rms",10.4310173,32.2577534,2,"Good"
1272,"2023-12-12",-0.0416929956984205,6.53274882279216,"IDPs","Poorest","rms",10.4298532,32.2605051,1,"Poor"
1273,"2023-12-11",-0.0234950560640739,14.1688700527162,"IDPs","Second","rms",10.5787417,32.1347614,2,"Good"
1274,"2023-12-11",-0.00752904876361912,20.8684398806113,"IDPs","Middle","rms",10.5793156,32.1346475,1,"Poor"
1275,"2023-12-12",-0.0418948135431255,6.44806310784339,"IDPs","Poorest","rms",10.4336068,32.2480257,3,"Good"
1276,"2023-12-12",-0.0184042535518833,16.3050451319718,"IDPs","Second","rms",10.4344639,32.2484032,3,"Good"
1277,"2023-12-11",0.00358704038872341,25.5329132262488,"IDPs","Fourth","rms",10.5811619,32.1360835,2,"Good"
1278,"2023-12-12",-0.0392909921060312,7.54066460857592,"IDPs","Second","rms",10.4350935,32.2476258,1,"Poor"
1279,"2023-12-12",-0.0418948135431255,6.44806310784339,"IDPs","Poorest","rms",10.4343825,32.2477074,3,"Good"
1280,"2023-12-11",0.0357092049682978,39.0118425900019,"IDPs","Richest","rms",10.5786693,32.1365643,1,"Poor"
1281,"2023-12-12",-0.0416929956984205,6.53274882279216,"IDPs","Poorest","rms",10.4307282,32.2611725,1,"Poor"
1282,"2023-12-11",-0.0184042535518833,16.3050451319718,"IDPs","Second","rms",10.5780876,32.1372796,3,"Good"
1283,"2023-12-12",-0.0499300262681375,3.07637050366453,"IDPs","Poorest","rms",10.4314458,32.2603002,2,"Good"
1284,"2023-12-11",-0.0418948135431255,6.44806310784339,"IDPs","Poorest","rms",10.5788684,32.135245,3,"Good"
