"id","interviewdate","pop_groups","lat","lon","wealth_index","wealth_category","data_source"
1747,"2023-12-14","Refugee returnees",11.7206552,32.8255634,23.5475004985698,"Fourth","rms"
1748,"2023-12-12","IDPs",5.173001,31.7717517,31.5941535038291,"Fourth","rms"
1749,"2023-12-12","IDPs",5.1740544,31.774129,33.5932963022139,"Richest","rms"
1750,"2023-12-12","IDPs",5.1731167,31.7746918,20.9572624188838,"Middle","rms"
1751,"2023-12-12","IDPs",5.1731201,31.7738174,24.4136407380115,"Fourth","rms"
1752,"2023-12-14","IDPs",5.1664552,31.7961359,20.9572624188838,"Middle","rms"
1753,"2023-12-12","IDPs",5.1730488,31.7743463,24.4136407380115,"Fourth","rms"
1754,"2023-12-14","IDPs",4.8869399,31.5697701,37.0760085923988,"Richest","rms"
1755,"2023-12-14","IDPs",4.8883074,31.566421,33.6196302732712,"Richest","rms"
1756,"2023-12-14","IDPs",5.1667545,31.7970947,24.4136407380115,"Fourth","rms"
1757,"2023-12-14","IDPs",5.1659776,31.7954877,24.4136407380115,"Fourth","rms"
1758,"2023-12-14","IDPs",5.1671513,31.7976273,36.8669917105578,"Richest","rms"
1759,"2023-12-14","IDPs",5.1671823,31.797125,20.9572624188838,"Middle","rms"
1761,"2023-12-14","IDPs",4.8868441,31.5697842,33.6196302732712,"Richest","rms"
1764,"2023-12-14","IDPs",4.8867181,31.5697692,35.5937451355658,"Richest","rms"
1765,"2023-12-14","IDPs",4.8871817,31.5697881,33.6196302732712,"Richest","rms"
1766,"2023-12-14","IDPs",4.8876624,31.5696418,33.6196302732712,"Richest","rms"
1767,"2023-12-14","IDPs",4.8877805,31.5696985,48.7695910671736,"Richest","rms"
1768,"2023-12-14","IDPs",4.8867076,31.5697189,39.0501234546934,"Richest","rms"
1769,"2023-12-14","IDPs",4.8875065,31.5695375,35.5937451355658,"Richest","rms"
1770,"2023-12-14","IDPs",4.8877063,31.5695038,35.5937451355658,"Richest","rms"
1771,"2023-12-14","IDPs",4.8877109,31.5695629,35.5937451355658,"Richest","rms"
1783,"2023-12-14","Refugee returnees",11.7210855,32.82568,15.1242566048164,"Second","rms"
1784,"2023-12-14","Refugee returnees",11.7209922,32.8256413,18.2856883653377,"Middle","rms"
1785,"2023-12-14","Refugee returnees",11.7210571,32.8255377,18.580634923944,"Middle","rms"
1786,"2023-12-14","Refugee returnees",11.7210335,32.8255507,19.2085428942647,"Middle","rms"
1787,"2023-12-14","Refugee returnees",11.7209036,32.8252366,15.1242566048164,"Second","rms"
1788,"2023-12-14","Refugee returnees",11.7209198,32.8254566,31.4293017367882,"Fourth","rms"
1789,"2023-12-14","Refugee returnees",11.7206866,32.825839,15.1242566048164,"Second","rms"
1790,"2023-12-14","Refugee returnees",11.7209201,32.8257672,18.580634923944,"Middle","rms"
1791,"2023-12-14","Refugee returnees",11.7206235,32.8260477,31.4293017367882,"Fourth","rms"
1792,"2023-12-14","Refugee returnees",11.7206998,32.8260059,18.580634923944,"Middle","rms"
1793,"2023-12-14","Refugee returnees",11.7208751,32.8250802,34.8856800559158,"Richest","rms"
1794,"2023-12-14","Refugee returnees",11.7210795,32.8259286,41.1394770034553,"Richest","rms"
1795,"2023-12-12","Refugee returnees",6.7951948,33.1307649,7.0232749510433,"Second","rms"
1796,"2023-12-12","IDPs",6.7945103,33.1307375,1.99176393599762,"Poorest","rms"
1797,"2023-12-12","IDPs",6.7934724,33.1316978,1.99176393599762,"Poorest","rms"
1798,"2023-12-13","IDPs",6.7939777,33.1308204,1.58629906460317,"Poorest","rms"
1799,"2023-12-13","Refugee returnees",6.7943644,33.1342432,12.6286550209428,"Second","rms"
1800,"2023-12-13","Refugee returnees",6.7944229,33.1341583,17.5757014886798,"Middle","rms"
1801,"2023-12-14","Refugee returnees",6.7939444,33.1356746,21.1042506076514,"Middle","rms"
1802,"2023-12-14","Refugee returnees",6.7929478,33.1340085,8.89222682678808,"Second","rms"
1803,"2023-12-14","Refugee returnees",6.8046526,33.1271582,10.4673595227062,"Second","rms"
1804,"2023-12-14","Refugee returnees",6.8023219,33.1279969,7.56488572354072,"Second","rms"
1805,"2023-12-11","IDPs",6.7949744,33.1250478,4.6626695682677,"Poorest","rms"
1806,"2023-12-11","IDPs",6.7936418,33.1251682,10.8728243941006,"Second","rms"
1807,"2023-12-11","IDPs",6.7928519,33.1240919,7.01098120357855,"Poorest","rms"
1808,"2023-12-11","IDPs",6.7930795,33.1241173,1.58629906460317,"Poorest","rms"
1809,"2023-12-11","IDPs",6.7929486,33.1242859,5.04267738373077,"Poorest","rms"
1810,"2023-12-11","IDPs",6.792867,33.1259174,10.4673595227062,"Second","rms"
1811,"2023-12-11","IDPs",6.7932639,33.1261988,6.61781007964885,"Poorest","rms"
1812,"2023-12-11","IDPs",6.7940378,33.1251985,1.29176213887889,"Poorest","rms"
1813,"2023-12-11","IDPs",6.7924454,33.126192,3.56041392689776,"Poorest","rms"
1814,"2023-12-11","IDPs",6.793952,33.1256417,4.7481404580065,"Poorest","rms"
1815,"2023-12-11","IDPs",6.7935005,33.1249037,7.01679224602536,"Second","rms"
1816,"2023-12-11","IDPs",6.7935079,33.1248858,7.01679224602536,"Second","rms"
1817,"2023-12-11","IDPs",6.7928248,33.1261904,7.01679224602536,"Second","rms"
1818,"2023-12-11","IDPs",6.7924747,33.1262577,3.26587700117348,"Poorest","rms"
1819,"2023-12-11","IDPs",6.7922925,33.1261578,6.72225532030109,"Poorest","rms"
1820,"2023-12-11","IDPs",6.7922372,33.1261008,6.72225532030109,"Poorest","rms"
1821,"2023-12-12","IDPs",6.793375,33.1257333,3.26587700117348,"Poorest","rms"
1822,"2023-12-12","IDPs",6.7943963,33.1313703,9.70866207207393,"Second","rms"
1823,"2023-12-14","Refugee returnees",11.7210611,32.8258599,21.0112541677773,"Middle","rms"
