"id","interviewdate","pop_groups","lat","lon","wealth_index","wealth_category","data_source","living_conditions_score","living_conditions_category"
270,"2023-05-01","refugee",9.9949239,33.7591363,29.4505276899635,"Fourth","fds",3,"Good"
271,"2023-09-02","host community member",9.9605698,33.7251851,62.1758120813531,"Richest","fds",2,"Good"
272,"2023-07-26","refugee",10.0078136,33.7734178,21.6721163136595,"Middle","fds",4,"Good"
273,"2023-05-23","host community member",9.9671158,30.0218029,6.86663025535313,"Poorest","fds",1,"Poor"
274,"2023-06-30","refugee",9.9691692,33.5644335,9.94982092928151,"Second","fds",3,"Good"
276,"2023-05-09","refugee",4.7499241,28.6967648,24.7053720311444,"Fourth","fds",2,"Good"
277,"2023-06-01","refugee",10.090018,33.5841125,34.8582101917583,"Richest","fds",2,"Good"
278,"2023-09-01","host community member",9.9609152,33.7057603,1.82465575936548,"Poorest","fds",1,"Poor"
279,"2023-08-26","refugee",5.0213898,27.4475857,21.6963047038713,"Middle","fds",1,"Poor"
280,"2023-08-05","host community member",9.9301351,30.2931646,11.5449952736021,"Second","fds",3,"Good"
281,"2023-07-26","refugee",9.9071949,30.3610865,21.2299248806196,"Middle","fds",3,"Good"
282,"2023-05-11","refugee",9.9882389,33.7439251,15.701223155842,"Middle","fds",1,"Poor"
283,"2023-06-12","refugee",10.1070105,33.5915605,4.11254677583147,"Poorest","fds",2,"Good"
284,"2023-07-28","host community member",9.9295663,30.2952832,19.6987432310088,"Middle","fds",3,"Good"
285,"2023-07-26","refugee",9.9056911,30.3619486,26.8157185253843,"Fourth","fds",2,"Good"
286,"2023-10-05","refugee",10.1099274,33.5848123,7.94004650626121,"Poorest","fds",2,"Good"
288,"2023-09-25","refugee",10.1205033,30.0768,8.99902113851169,"Second","fds",2,"Good"
289,"2023-09-19","refugee",4.9775231,27.9034367,24.9340003337876,"Fourth","fds",0,"Poor"
290,"2023-09-24","refugee",10.1113615,30.0645937,12.3394068301416,"Second","fds",2,"Good"
291,"2023-10-12","refugee",5.3914217,27.2957274,30.9790660123494,"Fourth","fds",1,"Poor"
292,"2023-08-10","refugee",9.9111608,30.3544991,32.4585575953684,"Fourth","fds",2,"Good"
293,"2023-04-27","refugee",9.9960031,33.7492559,30.9216814071147,"Fourth","fds",2,"Good"
294,"2023-05-31","refugee",10.0955794,33.5908514,31.275183449329,"Fourth","fds",2,"Good"
295,"2023-06-07","host community member",9.9606175,33.720659,29.9503637584644,"Fourth","fds",1,"Poor"
296,"2023-07-01","refugee",9.9650508,33.562011,23.496772073025,"Fourth","fds",3,"Good"
297,"2023-09-21","refugee",9.910051,30.3463779,5.57461800686851,"Poorest","fds",3,"Good"
298,"2023-07-12","refugee",9.9603282,33.5746616,21.6721163136595,"Middle","fds",4,"Good"
299,"2023-09-02","host community member",9.960203,33.7252358,33.6430464414495,"Richest","fds",3,"Good"
300,"2023-07-06","host community member",9.9139384,29.9858928,2.23423231523858,"Poorest","fds",3,"Good"
302,"2023-08-31","host community member",10.0036755,33.7057427,13.733978933906,"Second","fds",1,"Poor"
303,"2023-08-31","refugee",9.9873063,33.756637,5.93720253519696,"Poorest","fds",1,"Poor"
304,"2023-10-11","refugee",5.5966498,27.467568,23.3794629786292,"Fourth","fds",2,"Good"
305,"2023-07-04","refugee",9.9872474,33.6033536,35.1246352562239,"Richest","fds",1,"Poor"
306,"2023-09-08","host community member",9.974308,33.8254001,9.10086257059171,"Second","fds",2,"Good"
307,"2023-06-14","host community member",9.9244835,29.9748265,1.82465575936548,"Poorest","fds",1,"Poor"
308,"2023-07-12","refugee",9.9568873,33.5712087,10.5147510707761,"Second","fds",3,"Good"
309,"2023-05-13","refugee",9.9598394,30.2774689,31.6397519755157,"Fourth","fds",3,"Good"
310,"2023-06-19","refugee",10.1131336,33.5911973,28.9865043913144,"Fourth","fds",2,"Good"
311,"2023-06-01","refugee",4.5695955,28.3968642,48.2734677331201,"Richest","fds",2,"Good"
312,"2023-08-19","refugee",9.9103232,30.3441145,10.1159434332234,"Second","fds",2,"Good"
313,"2023-06-07","refugee",10.1116194,30.0737144,37.8780755522429,"Richest","fds",1,"Poor"
314,"2023-05-12","refugee",9.9764892,30.2731121,19.8482717873613,"Middle","fds",3,"Good"
316,"2023-06-13","host community member",9.9620827,33.7329683,28.577933372201,"Fourth","fds",2,"Good"
317,"2023-10-24","refugee",4.0952465,30.6740362,39.9001846877459,"Richest","fds",2,"Good"
318,"2023-04-27","refugee",9.9748635,30.2817972,26.233996465029,"Fourth","fds",3,"Good"
319,"2023-04-28","refugee",4.7579922,31.4419305,55.9079877231266,"Richest","fds",3,"Good"
320,"2023-07-04","refugee",9.9056702,30.3653913,23.1147752463465,"Fourth","fds",2,"Good"
321,"2023-06-09","refugee",10.0371654,34.0995564,46.9515228766723,"Richest","fds",2,"Good"
322,"2023-08-31","host community member",9.9662874,33.7389849,9.10086257059171,"Second","fds",2,"Good"
324,"2023-08-21","refugee",9.9643635,33.5720748,21.6721163136595,"Middle","fds",4,"Good"
326,"2023-08-25","refugee",5.0790509,27.4775269,17.5819914253926,"Middle","fds",1,"Poor"
327,"2023-05-12","refugee",4.7515311,28.6994625,18.4116255289552,"Middle","fds",2,"Good"
328,"2023-07-07","refugee",9.9703743,33.5752805,34.8359597194203,"Richest","fds",3,"Good"
329,"2023-06-12","host community member",9.9599834,33.7284964,11.3887535870577,"Second","fds",3,"Good"
330,"2023-09-02","host community member",9.9588091,33.7246455,13.3514051489734,"Second","fds",1,"Poor"
331,"2023-08-23","refugee",9.9107878,30.3478672,2.23423231523858,"Poorest","fds",3,"Good"
332,"2023-05-06","refugee",9.9919474,33.7663002,16.9172676673044,"Middle","fds",2,"Good"
333,"2023-09-02","refugee",9.9899566,33.7501797,33.1257072238971,"Richest","fds",2,"Good"
334,"2023-07-26","host community member",9.9625718,33.7301478,35.445451728477,"Richest","fds",3,"Good"
335,"2023-08-28","refugee",9.9145409,30.3554197,10.1159434332234,"Second","fds",2,"Good"
336,"2023-10-05","refugee",10.1038476,33.5907995,23.496772073025,"Fourth","fds",3,"Good"
337,"2023-04-27","refugee",9.9758605,30.2804485,17.0511913223624,"Middle","fds",2,"Good"
338,"2023-07-11","refugee",9.9769225,33.5729381,13.4141879870675,"Second","fds",1,"Poor"
339,"2023-08-24","refugee",9.9824475,33.5794605,17.0945677780803,"Middle","fds",2,"Good"
340,"2023-08-14","host community member",9.8770866,30.2635041,5.04197449598764,"Poorest","fds",2,"Good"
341,"2023-10-13","refugee",5.3901809,27.2555084,22.813226998583,"Fourth","fds",1,"Poor"
342,"2023-07-13","refugee",9.9615248,33.5721508,20.767192072782,"Middle","fds",3,"Good"
343,"2023-11-07","refugee",4.7585162,31.4416779,9.15452127181912,"Second","fds",2,"Good"
